Designator,Mid X,Mid Y,Layer,Rotation
C1,23.50,31.85,Top,180.0
C2,26.26,12.34,Top,270.0
C3,29.31,16.79,Top,180.0
C4,29.31,14.88,Top,180.0
C5, 9.53,13.84,Top,0.0
C6,30.33,35.28,Top,90.0
C7,23.50,33.88,Top,0.0
C8,25.53,41.66,Top,270.0
C9,19.05,36.58,Top,180.0
C10,27.69,40.87,Top,270.0
C11,19.05,47.75,Top,180.0
C13,19.30, 7.49,Top,180.0
C15,21.89,17.53,Top,90.0
C16,24.13, 8.76,Top,270.0
C17,19.30, 5.97,Top,180.0
D1, 9.40, 3.05,Top,270.0
D2,11.30, 3.05,Top,270.0
D3,13.21, 3.05,Top,270.0
D14,27.56, 8.76,Top,90.0
FB2,22.73,15.11,Top,0.0
L1,27.43,36.17,Top,0.0
Q1,17.78,17.65,Top,270.0
R1,30.33,32.26,Top,90.0
R2,24.51,29.34,Top,270.0
R3, 9.40, 6.10,Top,270.0
R4,11.30, 6.10,Top,270.0
R5,22.48,29.34,Top,270.0
R6,25.78, 8.76,Top,270.0
R7,14.73,31.62,Top,180.0
R8,14.73,35.05,Top,180.0
R9,14.73,24.51,Top,180.0
R10,14.73,28.07,Top,180.0
R11,14.73,21.01,Top,180.0
R12,19.05,21.01,Top,180.0
R13,19.05,28.07,Top,180.0
R14,25.17,39.22,Top,0.0
R15,14.73,18.80,Top,0.0
R16,20.07,17.53,Top,270.0
R17,14.73,16.51,Top,180.0
R18,13.21, 6.10,Top,270.0
R19, 9.53,11.68,Top,0.0
R20, 9.53, 9.65,Top,0.0
R21,29.34, 8.76,Top,270.0
S1,35.18,11.43,Top,270.0
S2,26.92, 3.81,Top,180.0
U$1,19.05,42.04,Top,270.0
U1,27.43,32.23,Top,0.0
U3,29.31,12.34,Top,270.0
U4,23.50,36.17,Top,180.0
U5,19.05,11.43,Top,180.0
